id,code,name,type,parent_code,create_time,update_time,is_deleted
3059,620521,清水县,COUNTY,6205,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3060,620522,秦安县,COUNTY,6205,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3061,620523,甘谷县,COUNTY,6205,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3062,620524,武山县,COUNTY,6205,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3063,620525,张家川回族自治县,COUNTY,6205,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3064,6206,武威市,CITY,62,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3065,620602,凉州区,COUNTY,6206,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3066,620621,民勤县,COUNTY,6206,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3067,620622,古浪县,COUNTY,6206,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3068,620623,天祝藏族自治县,COUNTY,6206,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3069,6207,张掖市,CITY,62,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3070,620702,甘州区,COUNTY,6207,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3071,620721,肃南裕固族自治县,COUNTY,6207,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3072,620722,民乐县,COUNTY,6207,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3073,620723,临泽县,COUNTY,6207,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3074,620724,高台县,COUNTY,6207,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3075,620725,山丹县,COUNTY,6207,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3076,6208,平凉市,CITY,62,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3077,620802,崆峒区,COUNTY,6208,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3078,620821,泾川县,COUNTY,6208,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3079,620822,灵台县,COUNTY,6208,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3080,620823,崇信县,COUNTY,6208,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3081,620825,庄浪县,COUNTY,6208,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3082,620826,静宁县,COUNTY,6208,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3083,620881,华亭市,COUNTY,6208,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3084,6209,酒泉市,CITY,62,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3085,620902,肃州区,COUNTY,6209,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3086,620921,金塔县,COUNTY,6209,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3087,620922,瓜州县,COUNTY,6209,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3088,620923,肃北蒙古族自治县,COUNTY,6209,2023-09-11 00:00:00,2023-09-11 00:00:00,0
